Date,Open,High,Low,Close,adj_close,Volume,Nilai,kurs_jual,kurs_beli
2015-01-02,5387.5,5425.0,5375.0,5412.5,4291.285645,42273400.0,1,12536.0,12412.0
2015-01-05,5425.0,5425.0,5375.0,5400.0,4281.375,16681600.0,1,12652.0,12526.0
2015-01-06,5375.0,5412.5,5337.5,5362.5,4251.643555,29300000.0,1,12721.0,12595.0
2015-01-07,5375.0,5425.0,5362.5,5425.0,4301.195313,25122200.0,1,12796.0,12668.0
2015-01-08,5450.0,5487.5,5437.5,5475.0,4340.839355,31824800.0,1,12795.0,12667.0
2015-01-09,5500.0,5612.5,5475.0,5562.5,4410.212402,85412400.0,1,12703.0,12577.0
2015-01-12,5512.5,5562.5,5412.5,5412.5,4291.285645,26563400.0,1,12631.0,12505.0
2015-01-13,5437.5,5437.5,5312.5,5375.0,4261.554199,40180400.0,1,12671.0,12545.0
2015-01-14,5412.5,5500.0,5362.5,5362.5,4251.643555,29776400.0,1,12643.0,12517.0
2015-01-15,5450.0,5475.0,5375.0,5450.0,4321.017578,51344800.0,1,12680.0,12554.0
2015-01-16,5375.0,5437.5,5350.0,5350.0,4241.73291,47734600.0,1,12656.0,12530.0
2015-01-19,5325.0,5450.0,5325.0,5362.5,4251.643555,50003000.0,1,12675.0,12549.0
2015-01-20,5337.5,5375.0,5300.0,5375.0,4261.554199,73495200.0,1,12722.0,12596.0
2015-01-21,5375.0,5487.5,5325.0,5487.5,4350.749023,37474000.0,1,12620.0,12494.0
2015-01-22,5487.5,5512.5,5437.5,5500.0,4360.659668,35632800.0,1,12513.0,12389.0
2015-01-23,5537.5,5687.5,5537.5,5687.5,4509.318848,67392800.0,1,12506.0,12382.0
2015-01-26,5575.0,5600.0,5450.0,5550.0,4400.302246,75416400.0,1,12580.0,12454.0
2015-01-27,5500.0,5562.5,5500.0,5537.5,4390.391602,34670000.0,1,12555.0,12431.0
2015-01-28,5575.0,5587.5,5487.5,5487.5,4350.749023,32345800.0,1,12560.0,12436.0
2015-01-29,5475.0,5512.5,5462.5,5487.5,4350.749023,24263200.0,1,12578.0,12452.0
2015-01-30,5562.5,5625.0,5500.0,5500.0,4360.659668,49097600.0,1,12688.0,12562.0
2015-02-02,5500.0,5650.0,5475.0,5625.0,4459.766113,53836200.0,1,12764.0,12636.0
2015-02-03,5675.0,5687.5,5637.5,5675.0,4499.407715,39798800.0,1,12706.0,12580.0
2015-02-04,5700.0,5725.0,5600.0,5687.5,4509.318848,67902000.0,1,12672.0,12546.0
2015-02-05,5662.5,5675.0,5612.5,5625.0,4459.766113,55635600.0,1,12716.0,12590.0
2015-02-06,5675.0,5737.5,5650.0,5675.0,4499.407715,53626800.0,1,12676.0,12550.0
2015-02-09,5700.0,5912.5,5700.0,5850.0,4638.15625,64418000.0,1,12742.0,12616.0
2015-02-10,5800.0,5850.0,5775.0,5812.5,4608.424316,39897000.0,1,12707.0,12581.0
2015-02-11,5912.5,5962.5,5850.0,5875.0,4657.977539,61743800.0,1,12764.0,12636.0
2015-02-12,5962.5,5987.5,5875.0,5887.5,4667.887695,49420800.0,1,12858.0,12730.0
2015-02-13,5937.5,5975.0,5925.0,5950.0,4717.441406,42330400.0,1,12833.0,12705.0
2015-02-16,5950.0,5975.0,5875.0,5887.5,4667.887695,42858400.0,1,12806.0,12678.0
2015-02-17,5887.5,5925.0,5825.0,5850.0,4638.15625,14266400.0,1,12821.0,12693.0
2015-02-18,6000.0,6150.0,5937.5,5962.5,4727.352051,83619000.0,1,12868.0,12740.0
2015-02-20,5987.5,6100.0,5987.5,6037.5,4786.81543,37494800.0,1,12913.0,12785.0
2015-02-23,5950.0,6025.0,5912.5,5937.5,4707.530273,59217000.0,1,12877.0,12749.0
2015-02-24,5900.0,5975.0,5887.5,5937.5,4707.530273,40811400.0,1,12930.0,12802.0
2015-02-25,5950.0,5962.5,5925.0,5950.0,4717.441406,31479400.0,1,12951.0,12823.0
2015-02-26,5900.0,5950.0,5900.0,5937.5,4707.530273,38164400.0,1,12926.0,12798.0
2015-02-27,5950.0,6037.5,5900.0,6000.0,4757.083984,42734000.0,1,12927.0,12799.0
2015-03-02,5950.0,6012.5,5950.0,6000.0,4757.083984,48425800.0,1,13058.0,12928.0
2015-03-03,6050.0,6050.0,5950.0,5950.0,4717.441406,28841200.0,1,13027.0,12897.0
2015-03-04,5937.5,5975.0,5912.5,5925.0,4697.619629,23613000.0,1,13028.0,12898.0
2015-03-05,5912.5,5987.5,5900.0,5912.5,4687.709473,33806400.0,1,13087.0,12957.0
2015-03-06,5950.0,6050.0,5925.0,6050.0,4796.725098,38944200.0,1,13048.0,12918.0
2015-03-09,6000.0,6012.5,5875.0,5900.0,4677.798828,52523000.0,1,13112.0,12982.0
2015-03-10,5912.5,6037.5,5875.0,6012.5,4766.994141,34836400.0,1,13124.0,12994.0
2015-03-11,5950.0,6012.5,5925.0,5937.5,4707.530273,49192200.0,1,13230.0,13098.0
