Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,6050.000000,6125.000000,6050.000000,6100.000000,5013.987793,11700700
2015-01-05,6075.000000,6075.000000,6000.000000,6025.000000,4952.338867,13824800
2015-01-06,6000.000000,6050.000000,5950.000000,6025.000000,4952.338867,23801400
2015-01-07,6000.000000,6100.000000,5975.000000,6075.000000,4993.437500,19387800
2015-01-08,6100.000000,6125.000000,6025.000000,6075.000000,4993.437500,16755600
2015-01-09,6075.000000,6250.000000,6075.000000,6150.000000,5055.084961,29854500
2015-01-12,6100.000000,6225.000000,6075.000000,6075.000000,4993.437500,19549800
2015-01-13,6075.000000,6175.000000,6075.000000,6150.000000,5055.084961,16151400
2015-01-14,6150.000000,6200.000000,6100.000000,6100.000000,5013.987793,17067900
2015-01-15,6150.000000,6200.000000,6075.000000,6150.000000,5055.084961,20480800
2015-01-16,6075.000000,6125.000000,5950.000000,5975.000000,4911.241699,28009400
2015-01-19,6025.000000,6050.000000,5950.000000,5975.000000,4911.241699,13717400
2015-01-20,5975.000000,5975.000000,5725.000000,5900.000000,4849.593750,41519400
2015-01-21,5925.000000,6000.000000,5875.000000,5975.000000,4911.241699,22344200
2015-01-22,6000.000000,6050.000000,5950.000000,5950.000000,4890.691895,42082000
2015-01-23,6025.000000,6175.000000,6025.000000,6100.000000,5013.987793,40006300
2015-01-26,5975.000000,6150.000000,5975.000000,6100.000000,5013.987793,26297900
2015-01-27,6125.000000,6275.000000,6100.000000,6200.000000,5096.183594,38917500
2015-01-28,6250.000000,6300.000000,6175.000000,6175.000000,5075.634277,22756600
2015-01-29,6175.000000,6225.000000,6150.000000,6150.000000,5055.084961,14063400
2015-01-30,6225.000000,6275.000000,6175.000000,6250.000000,5137.281738,38295700
2015-02-02,6200.000000,6275.000000,6175.000000,6250.000000,5137.281738,15358800
2015-02-03,6300.000000,6450.000000,6275.000000,6425.000000,5281.126465,32659200
2015-02-04,6500.000000,6825.000000,6450.000000,6500.000000,5342.772949,43160800
2015-02-05,6600.000000,6675.000000,6375.000000,6450.000000,5301.674805,26275100
2015-02-06,6575.000000,6775.000000,6550.000000,6675.000000,5486.617188,32723900
2015-02-09,6775.000000,7075.000000,6725.000000,6875.000000,5651.010254,32429800
2015-02-10,6925.000000,7000.000000,6800.000000,6800.000000,5589.362793,20021400
2015-02-11,6750.000000,6825.000000,6725.000000,6725.000000,5527.714844,17464000
2015-02-12,6775.000000,6775.000000,6650.000000,6725.000000,5527.714844,10723500
2015-02-13,6775.000000,6800.000000,6650.000000,6675.000000,5486.617188,14850500
2015-02-16,6725.000000,6750.000000,6650.000000,6675.000000,5486.617188,11771000
2015-02-17,6650.000000,6700.000000,6650.000000,6650.000000,5466.067871,6168800
2015-02-18,6800.000000,6925.000000,6750.000000,6900.000000,5671.559570,42491800
2015-02-20,6975.000000,7075.000000,6900.000000,6900.000000,5671.559570,16170800
2015-02-23,7000.000000,7000.000000,6825.000000,6925.000000,5692.108398,13749700
2015-02-24,6975.000000,7000.000000,6900.000000,6975.000000,5733.206543,17175000
2015-02-25,7000.000000,7000.000000,6925.000000,6975.000000,5733.206543,14772600
2015-02-26,6925.000000,6975.000000,6850.000000,6925.000000,5692.108398,14264100
2015-02-27,6975.000000,6975.000000,6875.000000,6875.000000,5651.010254,18975500
2015-03-02,6925.000000,6950.000000,6825.000000,6850.000000,5630.460449,24645200
2015-03-03,6825.000000,6875.000000,6650.000000,6675.000000,5486.617188,34926900
2015-03-04,6675.000000,6750.000000,6550.000000,6650.000000,5466.067871,29378000
2015-03-05,6675.000000,6725.000000,6650.000000,6675.000000,5486.617188,25140000
2015-03-06,6725.000000,6800.000000,6700.000000,6775.000000,5568.813965,38451900
2015-03-09,6750.000000,6775.000000,6675.000000,6700.000000,5507.166016,30187600
2015-03-10,6700.000000,6850.000000,6675.000000,6750.000000,5548.264160,39759300
2015-03-11,6750.000000,6775.000000,6675.000000,6700.000000,5507.166016,36458400
2015-03-12,6725.000000,6825.000000,6675.000000,6725.000000,5527.714844,25830700
2015-03-13,6775.000000,6775.000000,6700.000000,6750.000000,5548.264160,20003000
2015-03-16,6725.000000,6925.000000,6675.000000,6925.000000,5692.108398,30810900
2015-03-17,6925.000000,6975.000000,6850.000000,6900.000000,5671.559570,20917200
2015-03-18,6925.000000,6975.000000,6850.000000,6950.000000,5712.657227,19130500
2015-03-19,6975.000000,7100.000000,6950.000000,7000.000000,5753.755371,38123800
2015-03-20,7000.000000,7000.000000,6925.000000,6950.000000,5712.657227,19477400
2015-03-23,7000.000000,7025.000000,6925.000000,7000.000000,5753.755371,14040800
2015-03-24,6950.000000,7100.000000,6950.000000,7100.000000,5835.951660,22853800
2015-03-25,7025.000000,7150.000000,6975.000000,7050.000000,5915.283691,20744200
2015-03-26,7050.000000,7150.000000,7000.000000,7100.000000,5957.235840,22933800
2015-03-27,7075.000000,7125.000000,7025.000000,7100.000000,5957.235840,12810000
2015-03-30,7150.000000,7200.000000,7000.000000,7000.000000,5873.332031,22375900
2015-03-31,7150.000000,7225.000000,7125.000000,7225.000000,6062.116211,29876200
2015-04-01,7250.000000,7250.000000,7100.000000,7250.000000,6083.092773,27064800
2015-04-02,7200.000000,7250.000000,7125.000000,7200.000000,6041.140625,17266000
2015-04-06,7250.000000,7250.000000,7150.000000,7175.000000,6020.164551,14549300
2015-04-07,7250.000000,7275.000000,7200.000000,7275.000000,6104.069824,20014600
2015-04-08,7225.000000,7275.000000,7175.000000,7225.000000,6062.116211,14323400
2015-04-09,7250.000000,7250.000000,7150.000000,7175.000000,6020.164551,9395600
2015-04-10,7150.000000,7200.000000,7100.000000,7125.000000,5978.212402,13770700
2015-04-13,7200.000000,7200.000000,7025.000000,7200.000000,6041.140625,15866800
2015-04-14,7175.000000,7175.000000,7075.000000,7100.000000,5957.235840,10977700
2015-04-15,7075.000000,7100.000000,7000.000000,7100.000000,5957.235840,15449200
2015-04-16,7100.000000,7175.000000,7075.000000,7150.000000,5999.188477,18351100
2015-04-17,7100.000000,7150.000000,7050.000000,7050.000000,5915.283691,12491100
2015-04-20,7075.000000,7175.000000,7050.000000,7175.000000,6020.164551,9401800
2015-04-21,7100.000000,7200.000000,7100.000000,7175.000000,6020.164551,25133500
2015-04-22,7225.000000,7225.000000,7100.000000,7100.000000,5957.235840,13616300
2015-04-23,7150.000000,7175.000000,7100.000000,7125.000000,5978.212402,18290700
2015-04-24,7125.000000,7125.000000,6950.000000,6950.000000,5831.379883,35049200
2015-04-27,6900.000000,6900.000000,6475.000000,6500.000000,5453.807617,72371700
2015-04-28,6600.000000,6650.000000,6425.000000,6650.000000,5579.665039,29378700
2015-04-29,6700.000000,6700.000000,6250.000000,6525.000000,5474.783691,56385800
2015-04-30,6500.000000,6575.000000,6375.000000,6425.000000,5390.878906,64835200
2015-05-04,6400.000000,6575.000000,6325.000000,6475.000000,5432.831543,27089000
2015-05-05,6525.000000,6575.000000,6425.000000,6500.000000,5453.807617,33660000
2015-05-06,6500.000000,6600.000000,6425.000000,6550.000000,5495.760254,20703900
2015-05-07,6600.000000,6775.000000,6550.000000,6700.000000,5621.617188,35935900
2015-05-08,6725.000000,6775.000000,6650.000000,6650.000000,5579.665039,16781200
2015-05-11,6750.000000,6775.000000,6650.000000,6650.000000,5579.665039,17685800
2015-05-12,6700.000000,6775.000000,6650.000000,6750.000000,5663.569824,9499500
2015-05-13,6800.000000,6850.000000,6750.000000,6825.000000,5726.499023,12270000
